Restaurant Name,Cuisines,Aggregate rating,Price range,City
Corkscrew Cafe,Unknown,3.9,3,Gainesville
Barbeque Ville,North Indian,4.4,3,Pune
Drifters Cafe,"Chinese, Thai, Asian",4.1,1,Gurgaon
"Red Ginger Sushi, Grill & Bar","Sushi, Teriyaki",4.5,3,Davenport
Moets Curry Leaf,"North Indian, Mughlai, Kashmiri",3.5,3,New Delhi
Mori's Japanese Steakhouse & Sushi Bar,"Japanese, Steak, Sushi",3.5,4,Valdosta
Denny's,American,4.6,4,Abu Dhabi
Dub's High on the Hog,BBQ,4.4,2,Dalton
Lahori Restaurant,"North Indian, Chinese",2.5,2,Noida
The Kulcha Land,"North Indian, Street Food",3.9,1,Amritsar
Punjabi By Nature Express,"North Indian, Street Food, Mughlai",3.5,2,New Delhi
Indigo Delicatessen,"European, Continental",4.2,3,Gurgaon
Sage,"Pizza, Italian",3.5,2,Gurgaon
Lake House Restaurant,"Italian, Mediterranean, Pizza",4.3,4,Vineland Station
The Sizzling Salsa,"Italian, Continental, Chinese, Mexican",4.1,4,Surat
Cream Centre,"North Indian, Chinese, Italian, Mexican",4.0,3,Coimbatore
Walk In The Woods,"North Indian, Mughlai, Chinese",3.0,3,Noida
Fast Trax,Fast Food,3.4,1,New Delhi
R.I.P Cafe & Lounge,Cafe,3.5,2,Noida
Gujarat Bhawan Restaurant,"Gujarati, South Indian, North Indian",3.7,1,New Delhi
Latitude 28,"American, Continental, Italian",3.8,4,New Delhi
Ministry of Crab,Seafood,4.9,4,Colombo
M I Food Center,"North Indian, Mughlai, Chinese",3.8,2,New Delhi
Kuchi n Kream,"Cafe, Continental, Fast Food",4.6,3,Coimbatore
Eggspectation - Jaypee Siddharth,"European, Continental, North Indian",3.5,4,New Delhi
Little Italy,Italian,4.1,3,Vadodara
Alaturka,Turkish,3.4,2,New Delhi
Duck City Bistro,"American, French",3.7,4,Davenport
Cafe Zinea,"Cafe, Chinese, Fast Food, Italian",3.7,2,Nagpur
Hot Spot,"Fast Food, North Indian, Beverages",3.8,1,New Delhi
Level 5 - Terrace Restro & Cafe,"Chinese, North Indian, Italian, Mexican",3.8,3,Surat
Farmhaus Burger,"American, Burger",3.9,2,Augusta
Tamba,Indian,4.7,4,Abu Dhabi
Orange Chopsticks,"Chinese, Thai, Asian",3.5,3,Gurgaon
The Witchery & The Secret Garden,"British, Scottish, Seafood",4.1,4,Edinburgh
CakeBee,"Bakery, Desserts",4.9,2,Coimbatore
Kunafa,"Desserts, Middle Eastern, Turkish",3.9,1,New Delhi
Culinate,"Continental, Fast Food, Asian, Italian",3.8,2,Noida
Shyam Sweets,"Mithai, Street Food",4.1,1,New Delhi
Oriental Fusion,"Chinese, Thai, Malaysian, Indonesian",3.3,2,Gurgaon
Delifrance - The France Cafe Bakery,"Cafe, Bakery, Desserts",4.0,2,Gurgaon
The Munchbox,"North Indian, Continental, Fast Food",3.4,2,New Delhi
Rodeo Mexican Restaurant,Mexican,3.8,2,Valdosta
Le Cirque - The Leela Palace,"French, Italian",3.8,4,New Delhi
Burger's King,Fast Food,4.1,2,Colombo
Shree Bhagatram,"North Indian, Chinese, South Indian, Mithai",3.3,2,New Delhi
Master Bakers,"Bakery, Desserts, Chinese, Fast Food",3.7,1,New Delhi
Big Wong XL,"Chinese, Thai, Sushi",3.9,3,Noida
JUGAAD JN.,"North Indian, Rajasthani",4.1,1,Bhubaneshwar
Agni - The Park,"Mughlai, Italian, Finger Food, Middle Eastern",3.3,4,New Delhi
Public Affair,European,3.8,4,New Delhi
Cafe Ole,"Cafe, Continental",3.8,3,Puducherry
L. May Eatery,"International, Pizza",3.8,3,Dubuque
Alkakori,"North Indian, Mughlai",3.6,2,New Delhi
Mafia 2.0,"North Indian, Continental, Italian, Thai, Chinese",3.4,3,New Delhi
Mutual's,"Cafe, Mexican, Italian, North Indian, Fast Food",4.2,2,Jaipur
The Delhi Heights,"North Indian, Mughlai, Chinese",2.8,2,New Delhi
FreshMenu,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",3.7,2,Gurgaon
Golden Dragon,Chinese,4.2,3,Surat
Eatopia,"European, Arabian, Japanese, Bakery, Desserts",3.9,4,Doha
Brewberrys The Coffee Bar,Cafe,4.0,1,Bhubaneshwar
DND,"North Indian, Fast Food",3.5,1,Noida
Hong Kong Express,"Chinese, Thai",3.8,2,New Delhi
Habibi,"Middle Eastern, Mediterranean, North Indian",3.7,3,New Delhi
The Manhattan Fish Market,"Seafood, Italian",4.0,4,Colombo
Diesel Cafe,"American, Italian",3.8,3,Mangalore
Crave Desserts & Bakes,"Desserts, Bakery",3.9,1,Mangalore
Aman Chicken,"North Indian, Mughlai",4.6,2,Ludhiana
Milwaukee Wiener House,"American, Fast Food",3.8,1,Sioux City
Downtown Grill,Steak,4.0,4,Macon
Dabba Meat,North Indian,3.1,2,Gurgaon
Ekim Burgers,Fast Food,4.5,1,Wellington City
Peshawari's Deluxe,"North Indian, Mughlai",3.7,2,New Delhi
Cosy Restaurant,"North Indian, Mughlai, Chinese",3.4,3,New Delhi
Cafe Rouge - Ramada,"North Eastern, Continental, South Indian, Fast Food",3.5,3,Gurgaon
Urbanologi,Tapas,4.9,4,Inner City
D Cabana,"Continental, Seafood, Chinese, North Indian, Biryani",3.6,2,Vizag
Krips Restaurant,"North Indian, Chinese",3.5,3,New Delhi
Supreme Bakery,"Bakery, Fast Food",3.9,1,New Delhi
Cafe Connect,"Cafe, Bakery",4.2,2,New Delhi
Amigo's Hub,"Cafe, Fast Food",3.7,2,New Delhi
Mithaas,"North Indian, Chinese, South Indian, Mithai",3.2,2,Noida
Poets Cafe,"Coffee and Tea, Modern Australian",2.4,3,Montville
Gravity,"Chinese, Mughlai, North Indian",2.6,3,Noida
Beera Chicken Corner,North Indian,3.8,2,Amritsar
Saffron,"Pakistani, Chinese, Indian, Afghani",4.1,3,Sharjah
Blueline - The Promenade,"North Indian, Seafood, South Indian, Italian",3.8,4,Puducherry
Blue Bean Love Cafe,"Cafe, Coffee and Tea, Modern Australian",3.8,2,Hepburn Springs
The Garden Cafe - The Fern,"North Indian, Italian, Asian, South Indian",4.1,3,Ahmedabad
The Hangout by 1861,"Continental, American, Italian",4.0,3,Gurgaon
Cafe Rendezvous,"Mexican, Italian, North Indian, Continental, Asian",3.3,3,New Delhi
Mickey's Kitchen,"Continental, American, Italian",3.9,2,New Delhi
Portneuf Valley Brewing,"American, Pizza",3.7,2,Pocatello
Writer's Cafe,"Cafe, European",4.2,1,Chennai
Madras Cafe,South Indian,2.5,1,New Delhi
Kays Bar-Be-Que,"North Indian, Mughlai",3.5,2,New Delhi
Isabella,"North Indian, Mughlai, Chinese",2.8,2,Gurgaon
World Platter,"North Indian, Chinese, Thai, Mexican, Italian",3.9,3,Surat
Indian Summer,"North Indian, Chinese",4.1,3,Ludhiana
Mandap - Hotel Express Towers,Gujarati,4.0,2,Vadodara
Uncle's,"North Indian, Mughlai, Chinese",3.4,2,Noida
Four Queens Dairy Cream,Desserts,3.9,1,Waterloo
El Super Burrito,Mexican,4.1,1,Cedar Rapids/Iowa City
By The Way,"North Indian, Chinese, South Indian",3.6,2,Mysore
Bay of Buddha - The Promenade,"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian",3.8,4,Puducherry
Zaoq,Pakistani,4.2,4,Doha
Pizza Hut Delivery,"Italian, Pizza, Fast Food",3.9,2,New Delhi
Bhaja Govindam,"North Indian, South Indian",3.8,2,New Delhi
Eau De Monsoon - Le Meridien,"Continental, European, North Indian, French",4.0,4,New Delhi
Taksim,Continental,3.9,3,New Delhi
Tian - Asian Cuisine Studio - ITC Maurya,"Asian, Japanese, Korean, Thai, Chinese",4.1,4,New Delhi
Finger Licious,"Bakery, Fast Food",3.4,1,New Delhi
Kumar Samose Wala,Street Food,4.1,1,New Delhi
Rebos,"Caribbean, Mexican, Cajun",3.8,2,Sioux City
Taste of India,Indian,4.2,2,Cedar Rapids/Iowa City
Cafi Knosh - The Leela Ambience Convention Hotel,"North Indian, Italian",3.9,4,New Delhi
The Village Cafi,"Cafe, American, Italian, North Indian, Chinese",3.7,2,New Delhi
Elan - The Lodhi,"North Indian, Continental, Italian",3.8,4,New Delhi
Knight Rider,"North Indian, Continental",3.1,3,Gurgaon
Beijing Cafe,"Asian, Chinese, Thai",3.8,3,Valdosta
Origin Coffee Roasting,"Cafe, Bakery, Tea, Vegetarian",4.0,3,Cape Town
Checker's,"Fast Food, Chinese",4.0,2,Nagpur
Shakahari Restaurant,North Indian,3.6,1,New Delhi
Bleu Cafe,"Pizza, Sandwich",3.7,2,Valdosta
Captain Bill$ Deliverz,"North Indian, Chinese, Fast Food",2.7,3,Gurgaon
Asian Bistro,"Chinese, Thai, North Indian, Japanese",3.8,3,Gurgaon
Eat All Nite,"North Indian, Chinese, Fast Food",3.2,2,Gurgaon
Dilli 32 - The Leela Ambience Convention Hotel,North Indian,4.0,4,New Delhi
India Grill - Hilton Garden Inn,"Continental, Italian, North Indian",3.6,4,New Delhi
Kev's,Fast Food,3.9,1,New Delhi
9 Mars Lounge,"North Indian, Chinese",2.5,4,Ghaziabad
Mr. Brown,"Bakery, Desserts, Fast Food",4.0,2,Noida
Wasabi by Morimoto - The Taj Mahal Hotel,"Japanese, Sushi",3.9,4,New Delhi
Purple Haze,Finger Food,3.7,3,Mysore
Bakers Oven,"Bakery, Desserts",3.6,2,Gurgaon
Kabab Studio,"North Indian, Mughlai",3.5,4,Mangalore
Mom & Dad's Italian Restaurant,Italian,3.7,2,Valdosta
Anand Ji,"North Indian, Street Food",3.8,1,New Delhi
Tunday Kababi,"Lucknowi, Mughlai",2.2,2,New Delhi
Moonie's Texas Barbecue,"BBQ, Sandwich",4.1,1,Gainesville
Da Kao Restaurant,"Asian, Vegetarian, Vietnamese",3.8,1,Sioux City
The Bubble Tea Cafe,Cafe,3.0,2,New Delhi
Mainland China Restaurant,Chinese,4.9,4,Doha
The Clay Oven,"North Indian, Mughlai, Chinese",3.5,3,New Delhi
38 Degree East,"North Indian, Chinese, Thai",3.8,3,Mumbai
El Jalisciense Mexican Restaurant,Mexican,4.1,1,Macon
Let's Noodle,Chinese,2.6,2,Ghaziabad
Cafe G - Crowne Plaza,"North Indian, Continental, Chinese",3.9,4,Gurgaon
Grub Pub,Chinese,3.4,3,New Delhi
Momo Baohaus,"Asian, Sushi, Tapas",4.3,4,Johannesburg
Indian By Nature,Indian,4.3,3,Abu Dhabi
The Manhattan FISH MARKET,"Seafood, American",4.0,4,Doha
Blue Water Grille,"North Indian, Mughlai, Chinese, Seafood",3.5,2,New Delhi
Anjlika Pastry Shop,"Bakery, Desserts, Fast Food",3.6,1,New Delhi
The Corner Cafe,"Cafe, Continental",4.1,3,Guwahati
Soni Bakers,"Bakery, Desserts, Fast Food, Street Food, Chinese, Beverages",3.4,1,New Delhi
Lucknow - Kingdom of Dreams,Lucknowi,3.7,3,Gurgaon
Bings Cafe,"Korean, Beverages, Desserts",3.9,2,New Delhi
Club London,"North Indian, Chinese, Finger Food",3.3,4,New Delhi
MEGU - The Leela Palace,"Japanese, Sushi",3.9,4,New Delhi
The Golden Dragon,"Chinese, Seafood, Japanese",3.5,3,New Delhi
Bistro Flamme Bois,"Italian, Continental, Mexican, Lebanese",4.1,3,Ludhiana
Jerry's Pizza,Pizza,3.8,2,Sioux City
The Diet Kitchen,"Continental, Healthy Food",3.9,2,New Delhi
Slic Chic,"Chinese, Fast Food",3.8,1,New Delhi
Backbenchers,"Cafe, Continental, Italian, North Indian",3.4,2,New Delhi
Pier 38,"Persian, Arabian, Lebanese, North Indian",4.6,3,Gurgaon
Spice Grill,"North Indian, Mughlai, Chinese, Continental",3.2,3,New Delhi
Moon Bite,"North Indian, Chinese",3.1,1,New Delhi
Le ROFL,"Cafe, Continental, Chinese, Italian",3.8,3,New Delhi
Prem Dhaba,North Indian,3.7,2,New Delhi
Enter The Dragon,Chinese,3.4,3,Nashik
The Punter House,"Cafe, Continental, Mexican, Italian, North Indian, Chinese",3.7,2,New Delhi
Pinch Of Spice,"North Indian, Chinese, Mughlai",4.2,3,Agra
Salt N' Pepper,"North Indian, Chinese",2.7,2,New Delhi
Moti Mahal Delux- Legendary Culinary,"North Indian, Mughlai, Chinese",3.6,3,New Delhi
Aka Saka,"Chinese, Japanese",3.3,3,New Delhi
Crazy Kitchen Lounge & Terrace,"North Indian, Chinese, Italian",3.9,2,New Delhi
Three Anchors,"Bar Food, Modern Australian",3.8,3,Middleton Beach
Sugar Rush By Saiba,"Bakery, Desserts",4.1,1,Gurgaon
Kylin Express,"Asian, Chinese",2.6,2,New Delhi
Tokyo Sushi,"Japanese, Sushi",3.7,2,Chatham-Kent
Doughlicious,"Bakery, Desserts, Fast Food",3.3,2,Gurgaon
Bapu Ki Kutia,"North Indian, Chinese, South Indian, Fast Food",3.5,2,Bhopal
Bake My Wish,Fast Food,3.8,2,Vizag
The Saffron Boutique,"North Indian, Chinese",4.0,2,Noida
Jhakkas,"Street Food, South Indian",3.5,1,New Delhi
Southy,South Indian,3.1,1,New Delhi
Sakura,"Japanese, Sushi",3.8,3,Waterloo
Black Pepper Restaurant,"North Indian, Chinese",4.0,4,Dehradun
The Owl's Kitchen,"North Indian, Italian, Fast Food",3.5,2,New Delhi
Cafe on 3 - Holiday Inn,"Continental, Chinese, Thai, Mediterranean",3.4,4,New Delhi
Midnight Sutra,"North Indian, Fast Food",3.0,2,Gurgaon
Samrat Restaurant,"North Indian, Chinese, South Indian, Fast Food",3.4,2,New Delhi
The People & Co.,"Continental, Italian",3.7,3,Gurgaon
Twisted Tacos,Mexican,3.8,2,New Delhi
Lazeez Food,"Mughlai, North Indian",3.5,2,Gurgaon
Giani's,"Ice Cream, Desserts",3.6,1,New Delhi
Auroville Bakery,Bakery,3.8,1,Puducherry
Town Table Restaurant,"North Indian, Chinese, Continental",3.9,4,Dehradun
99 North Restaurant,"North Indian, Chinese",3.6,1,Bhubaneshwar
Chi Asian Cookhouse,"Chinese, Thai, Asian, Japanese, Korean, Seafood",3.9,3,Noida
Mystique Melange,"North Indian, Mughlai, Chinese, Continental",3.9,3,New Delhi
The Sugar Cube,"Bakery, Desserts",4.1,2,New Delhi
Punjab Da Pind,"North Indian, Mughlai, Chinese, Mangalorean",3.7,3,Mangalore
Ming Garden,Chinese,3.5,3,Varanasi
Plot 17,"Burger, Pizza, Biryani",4.3,2,Vizag
Jalpaan Dining Saga,"North Indian, Chinese, Italian",3.7,3,Mysore
Waffle House,"Cafe, Fast Food",4.3,2,Indore
Jai Vaishno Rasoi,North Indian,4.2,1,New Delhi
Cricket Club Cafe,"Continental, American, Seafood",4.2,3,Colombo
Shenanigan's Irish Pub,"Bar Food, Seafood, Vegetarian",4.1,2,Gainesville
Aromas,Fast Food,4.1,2,Kanpur
The Hangar,Cafe,4.6,3,Wellington City
Starvin' Marvin,"Italian, Mexican, Lebanese, Continental",3.8,2,New Delhi
The American Joint,"Healthy Food, American, Burger, Salad",3.4,2,Mumbai
Majeed's,"Mughlai, North Indian",3.5,2,New Delhi
Baker's Stop,"Bakery, Desserts, Fast Food",3.8,1,New Delhi
Floriditas,"Italian, Cafe",4.2,4,Wellington City
Deorio's,"Italian, Pizza",4.0,1,Columbus
Game n Grillz,"North Indian, Chinese, Fast Food",3.6,2,Gurgaon
Mist - The Park,"Continental, Italian, American, North Indian",3.3,4,New Delhi
Kulfiano,Ice Cream,4.0,1,New Delhi
Jain Coffee House,"Fast Food, Beverages",4.1,1,New Delhi
Mama's Nu Khana Khazana,"North Indian, Chinese, Mughlai",2.6,2,New Delhi
Masala House,North Indian,4.0,3,New Delhi
Sea Inn - Raju Gaari Dhaba,"Biryani, Andhra",4.0,2,Vizag
Fork with Stick,Chinese,4.0,2,Gurgaon
El Cazador,Mexican,3.7,1,Valdosta
Rock n Wood Cafe,"North Indian, Chinese",3.4,2,New Delhi
Thaaliwala,"North Indian, Fast Food",4.1,2,Agra
Kulcha King,Street Food,3.8,1,New Delhi
Urban Punjab,"North Indian, Chinese",3.6,2,New Delhi
Azteca,Mexican,4.3,1,Davenport
Mangal Sweets,"North Indian, Chinese, South Indian, Street Food, Mithai",2.4,1,New Delhi
Cryo Lab,"Desserts, Ice Cream",4.6,2,Ahmedabad
Mazzo,"Cafe, American, Continental, Armenian, Fast Food",3.9,2,Ahmedabad
Otik Cake Shop,"Bakery, Desserts, Fast Food",3.8,1,New Delhi
RiverDine Restaurant & Bar,"North Indian, Chinese",3.5,3,Nashik
Big Fish Eatery,"Asian, Sushi, Seafood",4.5,3,Auckland
T.G.I. Friday's,"American, Steak",4.0,4,Colombo
Olive Tree Cafe,"Indian, Mediterranean, Middle Eastern",4.6,2,Davenport
PitStop BrewPub,"Continental, Italian, North Indian, Mughlai",4.4,3,Gurgaon
Tea'se Me - Rooftop Tea Boutique,"Chinese, Italian, Continental, North Indian",4.2,3,Agra
The Chocolate Heaven,"Cafe, Italian, Desserts",4.1,2,Lucknow
Number 8,"Continental, North Indian, European, Asian",4.0,4,New Delhi
Rumi's Kitchen,"Biryani, Lucknowi, North Indian",3.4,2,Gurgaon
Bhai Ji Foods,"North Indian, Chinese",3.3,1,Gurgaon
FOA - The Flavours of Arabia,"Lebanese, North Indian",3.4,3,Gurgaon
Fiery Grills,"North Indian, Chinese, Continental",3.3,3,New Delhi
Baked Buns,"Fast Food, Pizza, Burger",3.6,2,New Delhi
Owlcity,Fast Food,3.6,1,Noida
Puppychino,"Cafe, Continental, Italian",4.4,3,New Delhi
Flavours of Punjab,"North Indian, Chinese",2.5,2,New Delhi
Caffi La Poya,"Cafe, Continental, Fast Food, Italian",3.7,2,Noida
Burger Joint,"Fast Food, Burger",3.5,1,New Delhi
The Centre Court,"Italian, North Indian, Desserts, Continental",4.1,3,Surat
The B.A.W.A,Cafe,4.2,2,Nagpur
Moti Mahal Delux,"North Indian, Mughlai",2.4,3,New Delhi
Burger Point,"Burger, Fast Food",3.6,1,New Delhi
Antebellum,"American, Southern",4.3,3,Gainesville
Punjabi Rasoi,"North Indian, South Indian, Fast Food",2.8,2,New Delhi
Nazeer Delicacies,"North Indian, Mughlai",3.3,2,New Delhi
London Street Kitchen,"North Indian, Mughlai, Chinese",4.2,2,New Delhi
Kanwarji's,"Street Food, Chinese, North Indian, Mithai",3.9,1,New Delhi
Tony's,Fast Food,4.4,1,New Delhi
Showstopper,"Continental, North Indian, Chinese, Asian",4.1,3,New Delhi
Tamura,Japanese,3.5,3,New Delhi
Gelateria Montecatini Terme,Desserts,4.2,1,Puducherry
Roseleaf Bar Cafe,"Scottish, Cafe",4.7,3,Edinburgh
Al Arabian Express,Mughlai,3.7,3,Nashik
Curry Leaves,"North Indian, Chinese, Fast Food",3.4,3,Nashik
Cafe Southall,"North Indian, Italian, Continental, Asian",4.2,3,New Delhi
Hot Palayok,"Filipino, Japanese, Asian",4.5,3,Abu Dhabi
Owl is Well,"Burger, American, Fast Food, Italian, Pizza",4.5,3,New Delhi
New Kadimi,"North Indian, South Indian, Chinese, Fast Food",2.5,2,New Delhi
Spring - Radisson Blu Plaza,"Continental, North Indian, South Indian",3.8,4,Mysore
Eggspectation - Jaypee Vasant Continental,"European, Continental, North Indian",3.6,4,New Delhi
Solita,"American, Burger, Grill",4.9,3,Manchester
Thai Paradise,"Desserts, Thai",3.7,2,Pocatello
Sab Ki Khatir,Mughlai,3.7,1,New Delhi
First Eat,"Healthy Food, North Indian, Continental",4.0,1,Gurgaon
Cafe Gatherings,"Cafe, Continental",4.4,2,Gurgaon
The Nacoochee Village Tavern & Pizzeria,"Italian, Pizza, Sandwich",4.0,1,Gainesville
Bao,"Taiwanese, Street Food",4.9,2,London
Tamil Nadu House Canteen,"South Indian, Chettinad, North Indian, Chinese",3.4,2,New Delhi
Chaska,"North Indian, South Indian, Chinese, Fast Food",3.2,2,New Delhi
FoodByMom,North Indian,3.6,1,Ghaziabad
Monica's,"American, Italian, Pizza",3.8,2,Cedar Rapids/Iowa City
Little Penang,Malaysian,4.4,3,Wellington City
Cream Stone,"Desserts, Ice Cream",4.3,1,Coimbatore
Chopaal,"Chinese, North Indian, South Indian, Fast Food",2.0,1,Noida
Johnnie Mars,"American, Desserts, Diner",3.9,1,Sioux City
Apni Rasoi,"North Indian, Chinese",3.0,1,Gurgaon
New York Slice - Express,"Pizza, Fast Food",3.6,2,New Delhi
Delhi Pavilion - Sheraton New Delhi Hotel,"North Indian, Continental, Asian",4.0,4,New Delhi
Cake Palace,"Bakery, Fast Food",3.8,1,New Delhi
Dezertfox,"Bakery, Desserts",4.1,2,New Delhi
Big Chicken,"North Indian, Chinese",3.5,2,Mysore
Mister Gulati Bakers,Bakery,3.8,2,New Delhi
Raasa The Luxuriate Fine Dine,"North Indian, Mughlai, Chinese",3.7,3,New Delhi
Yumm Biryani,"Biryani, Mughlai",3.2,2,Noida
ChaiCofi,"Cafe, Continental, Italian",4.0,2,Kochi
Exotic India,Indian,4.1,2,Cedar Rapids/Iowa City
Jimmie's Hot Dogs,Unknown,3.9,1,Albany
Verandah,"Chinese, Italian, Fast Food",3.7,4,Kanpur
Goody's Deli,"Pizza, Sandwich",3.8,1,Pocatello
Chehel Pehel,"North Indian, Mughlai",3.5,2,New Delhi
Zaika,"North Indian, Chinese, Mughlai",3.4,2,New Delhi
27 Grills,"North Indian, Chinese, Mughlai",3.3,2,Noida
Al Bake,"Lebanese, Chinese",3.2,2,New Delhi
Pepper Sprout Incorporated,American,3.6,3,Dubuque
Chawla's Tandoori Junction,North Indian,3.5,2,New Delhi
Nutri Punch,Healthy Food,4.0,2,New Delhi
Sona Pure Veg Paradise,"North Indian, Street Food",3.8,2,New Delhi
Shutup 'N' Eat,"North Indian, Fast Food",3.2,2,New Delhi
Little Chef,"North Indian, Fast Food",4.1,3,Kanpur
Soul Curry - Bellagio,"North Indian, Mughlai",3.6,3,New Delhi
Arabian Knights,"Middle Eastern, Arabian",4.2,3,Colombo
Crawdaddy's,"Continental, Seafood, Burger, South African, Finger Food, Grill",4.0,3,Pretoria
Kashi Chat Bhandar,Street Food,4.1,1,Varanasi
Gravies,"North Indian, Biryani, Mughlai",3.3,2,New Delhi
Azam's Mughlai,Mughlai,3.9,2,New Delhi
Los Agaves,Mexican,4.1,2,Davenport
My Sugar,"Cafe, Patisserie, Bakery, Desserts",4.4,2,Cape Town
CIOCONAT Lounge,"Italian, Cafe, Desserts",3.7,3,Colombo
Udaipuri,"North Indian, Rajasthani, Asian",4.0,2,Gurgaon
Mi Patria,Latin American,4.0,2,Des Moines
Midnight Espresso,Cafe,4.3,2,Wellington City
Fiesta Cancun,Mexican,3.6,1,Dubuque
Raw Creams,"Ice Cream, Desserts, Beverages",4.3,1,New Delhi
Tokyo Japanese Steak House,"Japanese, Steak, Sushi",3.9,2,Waterloo
Puratan - Family Restaurant & Bar,"North Indian, Chinese",3.3,3,New Delhi
Theo Yianni's Authentic Greek Restaurant,"Burger, Greek, Sandwich",3.9,2,Weirton
Cafe Hydro,Asian,4.0,3,Mumbai
Spindrift,"North Indian, Italian, Finger Food",3.9,2,Mangalore
JAIL - Behind The Bar,"North Indian, Chinese, Continental, Italian",4.1,3,New Delhi
Cocoberry,Desserts,3.9,1,New Delhi
The Spice Room,"North Indian, Chinese",3.4,3,Gurgaon
The Chocolate Room,"Cafe, Italian, Mexican, Salad, Desserts",3.4,2,New Delhi
Shake Eat Up,"Fast Food, Beverages",3.9,1,New Delhi
Gola Northend,"Mughlai, North Indian, Chinese",3.1,3,New Delhi
TBK Kulcha's,"Fast Food, Street Food",3.6,1,New Delhi
Onokabe,Indonesian,3.7,3,Tangerang
Dhuaan,"North Indian, Mexican, Italian",4.3,4,Kanpur
Fit Bites,Healthy Food,3.8,2,Noida
Krishna Di Kulfi,"Ice Cream, Desserts",3.8,1,New Delhi
Kamat Restaurant,"Andhra, North Indian, Chinese, Seafood, Biryani",3.6,2,Vizag
Crudo Juicery,"Beverages, Salad",4.3,1,Gurgaon
Ooh Lala !,"American, Fast Food, Desserts",4.0,2,New Delhi
The BrewMaster - The Mix Fine Dine,"North Indian, Continental",3.9,3,Ludhiana
Mizo Diner,"North Indian, Tibetan",3.7,2,New Delhi
Cafe Cruise,"Continental, North Indian, Chinese",2.8,3,New Delhi
The Headquarter,"Continental, Italian, Mediterranean, Asian",4.1,3,New Delhi
FoodZilla,"Chinese, Assamese",3.3,2,Gurgaon
Old Town Italy,"Cafe, Italian, Pizza, European, Bakery, Deli",3.9,4,Pretoria
Kansar Gujarati Thali,Gujarati,3.9,2,Surat
Sushi Thai Restaurant,"Japanese, Sushi, Thai",3.7,1,Macon
Cafi Bogchi,"Cafe, Italian, Mexican, Continental",4.1,2,Faridabad
Salsa's Mexican Restaurant,Mexican,3.4,1,Dubuque
Ghar Bistro Cafe,"Continental, North Indian, Chinese, Mughlai, Asian",4.4,2,New Delhi
House of China Restaurant II,Chinese,3.8,1,Albany
Di_veroUolu,"Kebab, Desserts, Turkish Pizza",4.2,3,Ankara
Amber,"North Indian, Chinese, Mughlai",2.6,3,New Delhi
4700BC Popcorn,Fast Food,3.8,1,New Delhi
English Tadka,"North Indian, European",3.3,2,New Delhi
Kaiser,"North Indian, Mughlai",4.1,2,Gurgaon
Ombra,Italian,4.5,4,Wellington City
Grecian Key Restaurant,"American, Greek",3.7,2,Pocatello
Oye24,"North Indian, Chinese, South Indian",4.1,1,Indore
Momo Mia,Chinese,3.8,1,New Delhi
Moti Mahal Delux Tandoori Trail,"North Indian, Mughlai, Chinese",3.2,3,New Delhi
Madhuban,"North Indian, Mughlai, Chinese",3.1,2,New Delhi
Pizza Central,"Fast Food, Italian, Pizza",4.1,2,Gurgaon
17 Degrees,"North Indian, Chinese, Continental, Italian",3.5,3,Patna
Cones & Curries,Fast Food,3.7,1,New Delhi
Pacific Asia,"North Indian, Chinese",3.7,3,New Delhi
Tandoor Restaurant,"North Indian, Chinese",3.2,3,Allahabad
Charming Chicken,North Indian,3.9,1,Amritsar
Kalpak Restaurant & Cafe,"North Indian, Chinese",4.3,3,Noida
Mughal Darbar,"North Indian, Mughlai, Chinese",3.5,2,New Delhi
Duke's Pastry Shop,"Bakery, Fast Food",4.1,1,New Delhi
Nawaab,"Pakistani, Indian, Afghani, Curry",3.9,2,Manchester
Blos Cafe,"Cafe, Burger, Tapas, South African, European, Grill",3.9,4,Pretoria
Blooms - Eros Hotel,"Continental, North Indian, Italian",3.9,4,New Delhi
Yo Tibet,"Chinese, Tibetan, Fast Food",3.3,2,New Delhi
Dudleys,"American, Continental, Burger",4.6,3,Gurgaon
Grills & Platters,"North Indian, Continental",3.5,3,New Delhi
Sethi's The Cake Shop,"Bakery, Fast Food",3.9,1,New Delhi
B Merrell's,"Burger, Bar Food, Southern",3.8,2,Columbus
L 14 - Renaissance Lucknow Hotel,"North Indian, Continental, South Indian, Chinese, Thai, Asian",4.2,4,Lucknow
The Society Cafe,"Cafe, Italian",4.1,2,New Delhi
Pizzeria Vaatika Cafe,"Pizza, Chinese",3.7,3,Varanasi
Tera Hotel,North Indian,3.5,1,New Delhi
Hornbill,Naga,4.0,1,New Delhi
Offside Lounge,"Continental, Chinese, Mexican, North Indian",3.8,3,Vadodara
Soi Thai,"Thai, Japanese",3.6,3,New Delhi
Kabooze,"North Indian, Chinese, Continental",3.3,3,New Delhi
sketch Gallery,"British, Contemporary",4.5,4,London
Mathew's Cafe,South Indian,3.7,1,New Delhi
Lahori Gate,"Mughlai, North Indian",3.5,3,New Delhi
The Submarine Lounge,"Chinese, North Indian, Continental, Italian",3.4,3,New Delhi
O2- The Plant Cafe,Continental,4.1,2,Jaipur
Hucka,"Chinese, Fast Food",3.3,2,Kanpur
Bake Me A Cake,"Bakery, Desserts",4.0,2,New Delhi
